"year","quarter","flow","rain","temp","rain.1","rain.2","rain.3","rain.4","rain.5","rain.6","rain.7","rain.8","temp.1","temp.2","temp.3","temp.4"
"2000","2"," 23.1252747"," 3.06","60.18681","28.33"," 4.47"," 0.20"," 3.35","22.18"," 7.92"," 0.08"," 7.12","52.69780","55.47283","62.36957","56.25275"
"2000","3","  6.2771739"," 0.53","62.34239"," 3.06","28.33"," 4.47"," 0.20"," 3.35","22.18"," 7.92"," 0.08","60.18681","52.69780","55.47283","62.36957"
"2000","4","  8.2217391"," 7.16","53.94022"," 0.53"," 3.06","28.33"," 4.47"," 0.20"," 3.35","22.18"," 7.92","62.34239","60.18681","52.69780","55.47283"
"2001","1"," 66.6644444","16.21","51.64444"," 7.16"," 0.53"," 3.06","28.33"," 4.47"," 0.20"," 3.35","22.18","53.94022","62.34239","60.18681","52.69780"
"2001","2"," 16.1472527"," 1.86","58.98352","16.21"," 7.16"," 0.53"," 3.06","28.33"," 4.47"," 0.20"," 3.35","51.64444","53.94022","62.34239","60.18681"
"2001","3","  2.7434783"," 0.22","61.86413"," 1.86","16.21"," 7.16"," 0.53"," 3.06","28.33"," 4.47"," 0.20","58.98352","51.64444","53.94022","62.34239"
"2001","4"," 32.7006522","18.05","55.02717"," 0.22"," 1.86","16.21"," 7.16"," 0.53"," 3.06","28.33"," 4.47","61.86413","58.98352","51.64444","53.94022"
"2002","1"," 48.6544444"," 9.53","50.53333","18.05"," 0.22"," 1.86","16.21"," 7.16"," 0.53"," 3.06","28.33","55.02717","61.86413","58.98352","51.64444"
"2002","2"," 12.8464835"," 1.16","57.92308"," 9.53","18.05"," 0.22"," 1.86","16.21"," 7.16"," 0.53"," 3.06","50.53333","55.02717","61.86413","58.98352"
"2002","3","  2.9748913"," 0.05","62.13587"," 1.16"," 9.53","18.05"," 0.22"," 1.86","16.21"," 7.16"," 0.53","57.92308","50.53333","55.02717","61.86413"
"2002","4"," 69.6456522","19.48","55.41304"," 0.05"," 1.16"," 9.53","18.05"," 0.22"," 1.86","16.21"," 7.16","62.13587","57.92308","50.53333","55.02717"
"2003","1"," 40.1522222"," 5.18","54.12778","19.48"," 0.05"," 1.16"," 9.53","18.05"," 0.22"," 1.86","16.21","55.41304","62.13587","57.92308","50.53333"
"2003","2"," 28.6024176"," 4.47","58.23077"," 5.18","19.48"," 0.05"," 1.16"," 9.53","18.05"," 0.22"," 1.86","54.12778","55.41304","62.13587","57.92308"
"2003","3","  3.5522826"," 0.01","64.84239"," 4.47"," 5.18","19.48"," 0.05"," 1.16"," 9.53","18.05"," 0.22","58.23077","54.12778","55.41304","62.13587"
"2003","4"," 34.0770652","13.62","55.52717"," 0.01"," 4.47"," 5.18","19.48"," 0.05"," 1.16"," 9.53","18.05","64.84239","58.23077","54.12778","55.41304"
"2004","1"," 82.7000000","10.25","53.28022","13.62"," 0.01"," 4.47"," 5.18","19.48"," 0.05"," 1.16"," 9.53","55.52717","64.84239","58.23077","54.12778"
"2004","2","  9.8349451"," 0.53","60.01099","10.25","13.62"," 0.01"," 4.47"," 5.18","19.48"," 0.05"," 1.16","53.28022","55.52717","64.84239","58.23077"
"2004","3","  2.0892391"," 0.08","64.19022"," 0.53","10.25","13.62"," 0.01"," 4.47"," 5.18","19.48"," 0.05","60.01099","53.28022","55.52717","64.84239"
"2004","4"," 40.4851087","18.28","54.54348"," 0.08"," 0.53","10.25","13.62"," 0.01"," 4.47"," 5.18","19.48","64.19022","60.01099","53.28022","55.52717"
"2005","1","125.2711111","19.89","53.70556","18.28"," 0.08"," 0.53","10.25","13.62"," 0.01"," 4.47"," 5.18","54.54348","64.19022","60.01099","53.28022"
"2005","2"," 36.5648352"," 5.42","58.95055","19.89","18.28"," 0.08"," 0.53","10.25","13.62"," 0.01"," 4.47","53.70556","54.54348","64.19022","60.01099"
"2005","3","  6.9455435"," 0.04","62.72283"," 5.42","19.89","18.28"," 0.08"," 0.53","10.25","13.62"," 0.01","58.95055","53.70556","54.54348","64.19022"
"2005","4"," 63.6239130","14.60","56.26087"," 0.04"," 5.42","19.89","18.28"," 0.08"," 0.53","10.25","13.62","62.72283","58.95055","53.70556","54.54348"
"2006","1","146.2644444","20.12","50.96667","14.60"," 0.04"," 5.42","19.89","18.28"," 0.08"," 0.53","10.25","56.26087","62.72283","58.95055","53.70556"
"2006","2","112.9637363"," 7.78","59.16484","20.12","14.60"," 0.04"," 5.42","19.89","18.28"," 0.08"," 0.53","50.96667","56.26087","62.72283","58.95055"
"2006","3","  9.0432609"," 0.00","63.03804"," 7.78","20.12","14.60"," 0.04"," 5.42","19.89","18.28"," 0.08","59.16484","50.96667","56.26087","62.72283"
"2006","4","  8.2721739"," 8.13","54.72826"," 0.00"," 7.78","20.12","14.60"," 0.04"," 5.42","19.89","18.28","63.03804","59.16484","50.96667","56.26087"
"2007","1"," 24.3073333"," 6.99","51.56667"," 8.13"," 0.00"," 7.78","20.12","14.60"," 0.04"," 5.42","19.89","54.72826","63.03804","59.16484","50.96667"
"2007","2","  6.6661538"," 2.08","58.58242"," 6.99"," 8.13"," 0.00"," 7.78","20.12","14.60"," 0.04"," 5.42","51.56667","54.72826","63.03804","59.16484"
"2007","3","  1.8216304"," 0.39","63.77717"," 2.08"," 6.99"," 8.13"," 0.00"," 7.78","20.12","14.60"," 0.04","58.58242","51.56667","54.72826","63.03804"
"2007","4","  3.2865217"," 5.77","54.18478"," 0.39"," 2.08"," 6.99"," 8.13"," 0.00"," 7.78","20.12","14.60","63.77717","58.58242","51.56667","54.72826"
"2008","1"," 68.3102198","18.77","50.77473"," 5.77"," 0.39"," 2.08"," 6.99"," 8.13"," 0.00"," 7.78","20.12","54.18478","63.77717","58.58242","51.56667"
"2008","2","  5.5119780"," 0.48","58.73626","18.77"," 5.77"," 0.39"," 2.08"," 6.99"," 8.13"," 0.00"," 7.78","50.77473","54.18478","63.77717","58.58242"
"2008","3","  1.2477174"," 0.02","63.93478"," 0.48","18.77"," 5.77"," 0.39"," 2.08"," 6.99"," 8.13"," 0.00","58.73626","50.77473","54.18478","63.77717"
"2008","4","  5.9419565"," 5.74","55.86413"," 0.02"," 0.48","18.77"," 5.77"," 0.39"," 2.08"," 6.99"," 8.13","63.93478","58.73626","50.77473","54.18478"
"2009","1"," 76.2963333","14.21","52.58889"," 5.74"," 0.02"," 0.48","18.77"," 5.77"," 0.39"," 2.08"," 6.99","55.86413","63.93478","58.73626","50.77473"
"2009","2","  9.1113187"," 2.09","59.17033","14.21"," 5.74"," 0.02"," 0.48","18.77"," 5.77"," 0.39"," 2.08","52.58889","55.86413","63.93478","58.73626"
"2009","3","  1.8588043"," 0.38","65.16848"," 2.09","14.21"," 5.74"," 0.02"," 0.48","18.77"," 5.77"," 0.39","59.17033","52.58889","55.86413","63.93478"
"2009","4"," 26.9288043"," 8.33","54.55435"," 0.38"," 2.09","14.21"," 5.74"," 0.02"," 0.48","18.77"," 5.77","65.16848","59.17033","52.58889","55.86413"
"2010","1"," 98.0977778","17.14","52.88333"," 8.33"," 0.38"," 2.09","14.21"," 5.74"," 0.02"," 0.48","18.77","54.55435","65.16848","59.17033","52.58889"
"2010","2"," 33.0920879"," 5.23","58.27473","17.14"," 8.33"," 0.38"," 2.09","14.21"," 5.74"," 0.02"," 0.48","52.88333","54.55435","65.16848","59.17033"
"2010","3","  4.7029348"," 0.06","63.16304"," 5.23","17.14"," 8.33"," 0.38"," 2.09","14.21"," 5.74"," 0.02","58.27473","52.88333","54.55435","65.16848"
"2010","4"," 53.0595652","16.61","54.70652"," 0.06"," 5.23","17.14"," 8.33"," 0.38"," 2.09","14.21"," 5.74","63.16304","58.27473","52.88333","54.55435"
"2011","1","160.5966667","18.79","52.01111","16.61"," 0.06"," 5.23","17.14"," 8.33"," 0.38"," 2.09","14.21","54.70652","63.16304","58.27473","52.88333"
"2011","2"," 43.1978022"," 4.54","58.16484","18.79","16.61"," 0.06"," 5.23","17.14"," 8.33"," 0.38"," 2.09","52.01111","54.70652","63.16304","58.27473"
"2011","3","  7.5658696"," 0.12","63.03261"," 4.54","18.79","16.61"," 0.06"," 5.23","17.14"," 8.33"," 0.38","58.16484","52.01111","54.70652","63.16304"
"2011","4","  6.5213043"," 5.30","54.40761"," 0.12"," 4.54","18.79","16.61"," 0.06"," 5.23","17.14"," 8.33","63.03261","58.16484","52.01111","54.70652"
"2012","1"," 53.3020879","12.00","52.31319"," 5.30"," 0.12"," 4.54","18.79","16.61"," 0.06"," 5.23","17.14","54.40761","63.03261","58.16484","52.01111"
"2012","2"," 26.8052747"," 3.35","59.54945","12.00"," 5.30"," 0.12"," 4.54","18.79","16.61"," 0.06"," 5.23","52.31319","54.40761","63.03261","58.16484"
"2012","3","  2.8705435"," 0.05","63.63587"," 3.35","12.00"," 5.30"," 0.12"," 4.54","18.79","16.61"," 0.06","59.54945","52.31319","54.40761","63.03261"
"2012","4"," 73.7042391","14.04","56.23370"," 0.05"," 3.35","12.00"," 5.30"," 0.12"," 4.54","18.79","16.61","63.63587","59.54945","52.31319","54.40761"
"2013","1"," 20.9166667"," 2.66","52.40556","14.04"," 0.05"," 3.35","12.00"," 5.30"," 0.12"," 4.54","18.79","56.23370","63.63587","59.54945","52.31319"
"2013","2","  5.0329670"," 1.11","62.67582"," 2.66","14.04"," 0.05"," 3.35","12.00"," 5.30"," 0.12"," 4.54","52.40556","56.23370","63.63587","59.54945"
"2013","3","  1.0711957"," 0.22","66.53261"," 1.11"," 2.66","14.04"," 0.05"," 3.35","12.00"," 5.30"," 0.12","62.67582","52.40556","56.23370","63.63587"
"2013","4","  1.6061957"," 1.08","55.30978"," 0.22"," 1.11"," 2.66","14.04"," 0.05"," 3.35","12.00"," 5.30","66.53261","62.67582","52.40556","56.23370"
"2014","1"," 11.3978889","11.00","56.42778"," 1.08"," 0.22"," 1.11"," 2.66","14.04"," 0.05"," 3.35","12.00","55.30978","66.53261","62.67582","52.40556"
"2014","2","  4.0364835"," 1.27","62.65934","11.00"," 1.08"," 0.22"," 1.11"," 2.66","14.04"," 0.05"," 3.35","56.42778","55.30978","66.53261","62.67582"
"2014","3","  0.5101087"," 1.05","67.51630"," 1.27","11.00"," 1.08"," 0.22"," 1.11"," 2.66","14.04"," 0.05","62.65934","56.42778","55.30978","66.53261"
"2014","4"," 23.4054348","16.16","58.74457"," 1.05"," 1.27","11.00"," 1.08"," 0.22"," 1.11"," 2.66","14.04","67.51630","62.65934","56.42778","55.30978"
"2015","1"," 24.1868889"," 3.36","58.10556","16.16"," 1.05"," 1.27","11.00"," 1.08"," 0.22"," 1.11"," 2.66","58.74457","67.51630","62.65934","56.42778"
"2015","2","  4.8601099"," 2.09","62.00549"," 3.36","16.16"," 1.05"," 1.27","11.00"," 1.08"," 0.22"," 1.11","58.10556","58.74457","67.51630","62.65934"
"2015","3","  0.6038043"," 0.09","69.76630"," 2.09"," 3.36","16.16"," 1.05"," 1.27","11.00"," 1.08"," 0.22","62.00549","58.10556","58.74457","67.51630"
"2015","4","  3.6483696","10.93","56.40761"," 0.09"," 2.09"," 3.36","16.16"," 1.05"," 1.27","11.00"," 1.08","69.76630","62.00549","58.10556","58.74457"
"2016","1","128.0957143","20.48","56.00549","10.93"," 0.09"," 2.09"," 3.36","16.16"," 1.05"," 1.27","11.00","56.40761","69.76630","62.00549","58.10556"
"2016","2"," 13.4146154"," 1.14","61.71429","20.48","10.93"," 0.09"," 2.09"," 3.36","16.16"," 1.05"," 1.27","56.00549","56.40761","69.76630","62.00549"
"2016","3","  1.8591304"," 0.08","64.34783"," 1.14","20.48","10.93"," 0.09"," 2.09"," 3.36","16.16"," 1.05","61.71429","56.00549","56.40761","69.76630"
"2016","4"," 62.8748913","15.56","56.94565"," 0.08"," 1.14","20.48","10.93"," 0.09"," 2.09"," 3.36","16.16","64.34783","61.71429","56.00549","56.40761"
"2017","1","479.4800000","33.16","53.32143","15.56"," 0.08"," 1.14","20.48","10.93"," 0.09"," 2.09"," 3.36","56.94565","64.34783","61.71429","56.00549"
"2017","2"," 60.6010989"," 7.00","58.00000","33.16","15.56"," 0.08"," 1.14","20.48","10.93"," 0.09"," 2.09","53.32143","56.94565","64.34783","61.71429"
"2017","3","  9.0045652"," 0.10","66.87313"," 7.00","33.16","15.56"," 0.08"," 1.14","20.48","10.93"," 0.09","58.00000","53.32143","56.94565","64.34783"
"2017","4","  7.5942391"," 3.00","58.27717"," 0.10"," 7.00","33.16","15.56"," 0.08"," 1.14","20.48","10.93","66.87313","58.00000","53.32143","56.94565"
"2018","1"," 24.4270370"," 5.29","54.87097"," 3.00"," 0.10"," 7.00","33.16","15.56"," 0.08"," 1.14","20.48","58.27717","66.87313","58.00000","53.32143"
